PID 18614: granted    LOCK_EX at 21:16:33
PID 18616: granted    LOCK_EX at 21:16:38
PID 18633: granted    LOCK_SH at 21:16:39
PID 18621: granted    LOCK_SH at 21:16:39
PID 18627: granted    LOCK_SH at 21:16:39
PID 18623: granted    LOCK_SH at 21:16:39
PID 18619: granted    LOCK_SH at 21:16:39
PID 18625: granted    LOCK_SH at 21:16:39
PID 18629: granted    LOCK_SH at 21:16:39
PID 18617: granted    LOCK_SH at 21:16:39
PID 18631: granted    LOCK_SH at 21:16:39
PID 18635: granted    LOCK_SH at 21:16:39
PID 18618: granted    LOCK_EX at 21:16:40
PID 18620: granted    LOCK_EX at 21:16:41
PID 18622: granted    LOCK_EX at 21:16:42
PID 18624: granted    LOCK_EX at 21:16:43
PID 18626: granted    LOCK_EX at 21:16:44
PID 18628: granted    LOCK_EX at 21:16:45
PID 18630: granted    LOCK_EX at 21:16:46
PID 18632: granted    LOCK_EX at 21:16:47
PID 18634: granted    LOCK_EX at 21:16:48
